,point,cell,grid,lat,lon,z_score
0,4838920,1395,Fibonacci (6.25 km),47.34447860717773,10.382990837097168,1.6469077228084215
1,4841504,1395,Fibonacci (6.25 km),47.37745666503906,10.320685386657717,1.7913594857948136
2,4843101,1395,Fibonacci (6.25 km),47.39785003662109,10.421497344970703,1.8814246943874624
3,4844088,1395,Fibonacci (6.25 km),47.410457611083984,10.258379936218262,1.8033753369715504
4,4845685,1395,Fibonacci (6.25 km),47.43086242675781,10.35919189453125,1.7546162722567298
5,4846672,1395,Fibonacci (6.25 km),47.44347381591797,10.196074485778809,1.8220073037052191
6,4847282,1395,Fibonacci (6.25 km),47.45127487182617,10.460004806518556,1.8020113429857325
7,4848269,1395,Fibonacci (6.25 km),47.46389389038086,10.296887397766112,1.8135412185615003
8,4849256,1395,Fibonacci (6.25 km),47.47651672363281,10.133769989013672,1.7110478028375533
9,4849866,1395,Fibonacci (6.25 km),47.484317779541016,10.397699356079102,1.6058129763667846
10,4850853,1395,Fibonacci (6.25 km),47.49694442749024,10.23458194732666,1.717723758056512
11,4851463,1395,Fibonacci (6.25 km),47.5047492980957,10.49851131439209,1.879358039495638
12,4851840,1395,Fibonacci (6.25 km),47.50957489013672,10.07146453857422,1.7246374278776329
13,4852450,1395,Fibonacci (6.25 km),47.51738357543945,10.335393905639648,1.7052177652341685
14,4853437,1395,Fibonacci (6.25 km),47.5300178527832,10.172276496887209,1.6470135783608606
15,4854047,1395,Fibonacci (6.25 km),47.53782653808594,10.436205863952637,1.6689742155337592
16,4854280,1395,Fibonacci (6.25 km),47.540809631347656,11.127182006835938,1.9851257598276266
17,4854369,1395,Fibonacci (6.25 km),47.54195022583008,12.936182022094728,1.6233339680145176
18,4854424,1395,Fibonacci (6.25 km),47.54265594482422,10.009159088134766,1.7949154124293678
19,4854801,1359,Fibonacci (6.25 km),47.547481536865234,9.582112312316896,2.122482757571437
20,4854890,1395,Fibonacci (6.25 km),47.548622131347656,11.391111373901367,2.3091109981058127
21,4855034,1395,Fibonacci (6.25 km),47.55046844482422,10.273088455200195,1.705279322803678
22,4855267,1395,Fibonacci (6.25 km),47.55345153808594,10.964064598083496,2.23893142630058
23,4855644,1395,Fibonacci (6.25 km),47.55828094482422,10.537017822265623,1.8981397496850858
24,4855877,1395,Fibonacci (6.25 km),47.56126403808594,11.227993965148926,2.3913330997149322
25,4856021,1395,Fibonacci (6.25 km),47.5631103515625,10.109971046447754,1.6900353155993826
26,4856254,1395,Fibonacci (6.25 km),47.56609725952149,10.800947189331056,1.9316297132988745
27,4856398,1359,Fibonacci (6.25 km),47.56793975830078,9.682924270629885,1.9873415165883492
28,4856487,1395,Fibonacci (6.25 km),47.5690803527832,11.491923332214355,2.3229931828201527
29,4856631,1395,Fibonacci (6.25 km),47.570926666259766,10.373900413513184,1.6680104800262248
30,4856864,1395,Fibonacci (6.25 km),47.57390975952149,11.064876556396484,2.0212337284324686
31,4856953,1395,Fibonacci (6.25 km),47.57505035400391,12.873876571655272,1.5982863361114203
32,4857008,1359,Fibonacci (6.25 km),47.57575607299805,9.946853637695312,1.9725853892301286
33,4857241,1395,Fibonacci (6.25 km),47.57874298095703,10.637829780578612,2.1696611746797796
34,4857385,1359,Fibonacci (6.25 km),47.58058547973633,9.51980686187744,2.2795606841920097
35,4857474,1395,Fibonacci (6.25 km),47.58172607421875,11.328805923461914,2.233843716087241
